Feature,Importance
LengthofCycle,1.3944591993505833
TotalFertilityFormula,0.8842630697439603
LengthofLutealPhase,0.876690431798801
CycleWithPeakorNot,0.3047119086214962
FirstDayofHigh,0.29001892478299995
TotalDaysofFertility,0.1263197345778507
Group,0.06650445681617298
TotalNumberofPeakDays,0.048338223690439906
NumberofDaysofIntercourse,0.019663518706892986
TotalNumberofHighDays,0.018368924909168076
ReproductiveCategory,0.009432851372468347
TotalMensesScore,0.004048841307463455
LengthofMenses,0.002079712208161716
Weight,0.001113617867742285
BMI,0.0006235068779560393
LivingkidsM,0.0005992565255246113
IntercourseInFertileWindow,9.569681272629258e-05
MensesScoreDayEight,0.0
MensesScoreDayNine,0.0
MensesScoreDayThree,0.0
MensesScoreDaySeven,0.0
OccupationM,0.0
Religion,0.0
Medvits,0.0
Miscarriages,0.0
